grouped_stop_id,grouped_stop_start_time,grouped_stop_end_time,grouped_stop_duration_seconds,raw_detections_in_group,first_video_in_group,last_video_in_group,nearest_harford_stop_id,nearest_harford_stop_start_time,nearest_harford_stop_end_time,signed_seconds_from_nearest_harford_start,absolute_seconds_from_nearest_harford_start,starts_inside_harford_duration,containing_harford_stop_id,containing_harford_stop_start_time,containing_harford_stop_end_time,seconds_after_containing_harford_start,seconds_before_containing_harford_end,overlaps_harford_duration,best_overlap_harford_stop_id,best_overlap_seconds
1,2026-06-18 22:11:06.834444444,2026-06-18 22:11:22.268888889,15.434444445,1,cortexvpu-01a-005-41884872_2026-06-18_21-10-34_935489.ts,cortexvpu-01a-005-41884872_2026-06-18_21-10-34_935489.ts,74,2026-06-18 22:53:41.983,2026-06-18 22:53:56.983,-2555.148555556,2555.148555556,False,,,,,,False,,0.0
2,2026-06-18 22:14:30.294444444,2026-06-18 22:14:51.593333333,21.298888889,1,cortexvpu-01a-005-41884872_2026-06-18_21-14-05_784690.ts,cortexvpu-01a-005-41884872_2026-06-18_21-14-05_784690.ts,74,2026-06-18 22:53:41.983,2026-06-18 22:53:56.983,-2351.688555556,2351.688555556,False,,,,,,False,,0.0
3,2026-06-18 22:15:18.062222222,2026-06-18 22:15:21.542222222,3.48,1,cortexvpu-01a-005-41884872_2026-06-18_21-15-16_657976.ts,cortexvpu-01a-005-41884872_2026-06-18_21-15-16_657976.ts,74,2026-06-18 22:53:41.983,2026-06-18 22:53:56.983,-2303.920777778,2303.920777778,False,,,,,,False,,0.0
4,2026-06-18 23:30:55.811111111,2026-06-18 23:31:00.870000000,5.058888889,1,cortexvpu-01a-005-41884872_2026-06-18_22-30-02_160727.ts,cortexvpu-01a-005-41884872_2026-06-18_22-30-02_160727.ts,75,2026-06-18 23:57:42.475,2026-06-18 23:58:35.475,-1606.663888889,1606.663888889,False,,,,,,False,,0.0
5,2026-06-18 23:35:02.336666667,2026-06-18 23:35:04.495555556,2.158888889,1,cortexvpu-01a-005-41884872_2026-06-18_22-34-46_237795.ts,cortexvpu-01a-005-41884872_2026-06-18_22-34-46_237795.ts,75,2026-06-18 23:57:42.475,2026-06-18 23:58:35.475,-1360.138333333,1360.138333333,False,,,,,,False,,0.0
6,2026-06-18 23:56:53.727777778,2026-06-18 23:57:11.611111111,17.883333333,1,cortexvpu-01a-005-41884872_2026-06-18_22-56-41_282659.ts,cortexvpu-01a-005-41884872_2026-06-18_22-56-41_282659.ts,75,2026-06-18 23:57:42.475,2026-06-18 23:58:35.475,-48.747222222,48.747222222,False,,,,,,False,,0.0
7,2026-06-19 00:00:16.062222222,2026-06-19 00:00:26.276666667,10.214444445,1,cortexvpu-01a-005-41884872_2026-06-18_23-00-14_426498.ts,cortexvpu-01a-005-41884872_2026-06-18_23-00-14_426498.ts,76,2026-06-19 00:00:44.902,2026-06-19 00:00:56.902,-28.839777778,28.839777778,False,,,,,,False,,0.0
8,2026-06-19 00:08:20.996666667,2026-06-19 00:08:27.022222222,6.025555555,1,cortexvpu-01a-005-41884872_2026-06-18_23-07-20_425921.ts,cortexvpu-01a-005-41884872_2026-06-18_23-07-20_425921.ts,77,2026-06-19 00:01:16.414,2026-06-19 00:01:58.414,424.582666667,424.582666667,False,,,,,,False,,0.0
9,2026-06-19 00:08:33.416666667,2026-06-19 00:08:37.476666667,4.06,1,cortexvpu-01a-005-41884872_2026-06-18_23-08-31_404536.ts,cortexvpu-01a-005-41884872_2026-06-18_23-08-31_404536.ts,77,2026-06-19 00:01:16.414,2026-06-19 00:01:58.414,437.002666667,437.002666667,False,,,,,,False,,0.0
10,2026-06-19 00:16:35.061111111,2026-06-19 00:16:37.058888889,1.997777778,1,cortexvpu-01a-005-41884872_2026-06-18_23-16-32_638711.ts,cortexvpu-01a-005-41884872_2026-06-18_23-16-32_638711.ts,78,2026-06-19 00:18:34.908,2026-06-19 00:18:57.908,-119.846888889,119.846888889,False,,,,,,False,,0.0
11,2026-06-19 00:16:37.094444444,2026-06-19 00:16:38.995555556,1.901111112,1,cortexvpu-01a-005-41884872_2026-06-18_23-16-35_645167.ts,cortexvpu-01a-005-41884872_2026-06-18_23-16-35_645167.ts,78,2026-06-19 00:18:34.908,2026-06-19 00:18:57.908,-117.813555556,117.813555556,False,,,,,,False,,0.0
12,2026-06-19 00:17:37.098888889,2026-06-19 00:17:50.922222222,13.823333333,1,cortexvpu-01a-005-41884872_2026-06-18_23-16-41_666667.ts,cortexvpu-01a-005-41884872_2026-06-18_23-16-41_666667.ts,78,2026-06-19 00:18:34.908,2026-06-19 00:18:57.908,-57.809111111,57.809111111,False,,,,,,False,,0.0
13,2026-06-19 00:17:52.062222222,2026-06-19 00:17:53.157777778,1.095555556,1,cortexvpu-01a-005-41884872_2026-06-18_23-17-50_223750.ts,cortexvpu-01a-005-41884872_2026-06-18_23-17-50_223750.ts,78,2026-06-19 00:18:34.908,2026-06-19 00:18:57.908,-42.845777778,42.845777778,False,,,,,,False,,0.0
14,2026-06-19 02:37:53.138888889,2026-06-19 02:38:04.481111111,11.342222222,1,cortexvpu-01a-005-41884872_2026-06-19_01-37-33_184857.ts,cortexvpu-01a-005-41884872_2026-06-19_01-37-33_184857.ts,88,2026-06-19 02:38:58.782,2026-06-19 02:39:51.782,-65.643111111,65.643111111,False,,,,,,False,,0.0
15,2026-06-19 03:13:30.594444444,2026-06-19 03:13:51.506666666,20.912222222,1,cortexvpu-01a-005-41884872_2026-06-19_02-12-45_376470.ts,cortexvpu-01a-005-41884872_2026-06-19_02-12-45_376470.ts,90,2026-06-19 03:25:29.939,2026-06-19 03:25:43.939,-719.344555556,719.344555556,False,,,,,,False,,0.0
16,2026-06-19 03:13:57.063333333,2026-06-19 03:14:13.980000000,16.916666667,1,cortexvpu-01a-005-41884872_2026-06-19_02-13-56_339659.ts,cortexvpu-01a-005-41884872_2026-06-19_02-13-56_339659.ts,90,2026-06-19 03:25:29.939,2026-06-19 03:25:43.939,-692.875666667,692.875666667,False,,,,,,False,,0.0
17,2026-06-19 03:15:19.381111111,2026-06-19 03:15:21.088888889,1.707777778,1,cortexvpu-01a-005-41884872_2026-06-19_02-15-14_651611.ts,cortexvpu-01a-005-41884872_2026-06-19_02-15-14_651611.ts,90,2026-06-19 03:25:29.939,2026-06-19 03:25:43.939,-610.557888889,610.557888889,False,,,,,,False,,0.0
18,2026-06-19 03:15:34.093333333,2026-06-19 03:15:36.703333333,2.61,1,cortexvpu-01a-005-41884872_2026-06-19_02-15-31_651611.ts,cortexvpu-01a-005-41884872_2026-06-19_02-15-31_651611.ts,90,2026-06-19 03:25:29.939,2026-06-19 03:25:43.939,-595.845666667,595.845666667,False,,,,,,False,,0.0
19,2026-06-19 03:15:45.062222222,2026-06-19 03:15:48.703333333,3.641111111,1,cortexvpu-01a-005-41884872_2026-06-19_02-15-43_658067.ts,cortexvpu-01a-005-41884872_2026-06-19_02-15-43_658067.ts,90,2026-06-19 03:25:29.939,2026-06-19 03:25:43.939,-584.876777778,584.876777778,False,,,,,,False,,0.0
20,2026-06-19 03:16:22.091111111,2026-06-19 03:16:26.602222222,4.511111111,1,cortexvpu-01a-005-41884872_2026-06-19_02-16-17_658067.ts,cortexvpu-01a-005-41884872_2026-06-19_02-16-17_658067.ts,90,2026-06-19 03:25:29.939,2026-06-19 03:25:43.939,-547.847888889,547.847888889,False,,,,,,False,,0.0
21,2026-06-19 03:17:39.064444444,2026-06-19 03:17:41.996666667,2.932222223,1,cortexvpu-01a-005-41884872_2026-06-19_02-17-39_896778.ts,cortexvpu-01a-005-41884872_2026-06-19_02-17-39_896778.ts,90,2026-06-19 03:25:29.939,2026-06-19 03:25:43.939,-470.874555556,470.874555556,False,,,,,,False,,0.0
22,2026-06-19 03:18:18.114444444,2026-06-19 03:18:22.657777778,4.543333334,1,cortexvpu-01a-005-41884872_2026-06-19_02-18-05_664511.ts,cortexvpu-01a-005-41884872_2026-06-19_02-18-05_664511.ts,90,2026-06-19 03:25:29.939,2026-06-19 03:25:43.939,-431.824555556,431.824555556,False,,,,,,False,,0.0
23,2026-06-19 03:25:13.060000000,2026-06-19 03:25:18.215555556,5.155555556,1,cortexvpu-01a-005-41884872_2026-06-19_02-25-09_523403.ts,cortexvpu-01a-005-41884872_2026-06-19_02-25-09_523403.ts,90,2026-06-19 03:25:29.939,2026-06-19 03:25:43.939,-16.879,16.879,False,,,,,,False,,0.0
24,2026-06-19 03:26:22.610000000,2026-06-19 03:26:25.703333333,3.093333333,1,cortexvpu-01a-005-41884872_2026-06-19_02-26-20_390324.ts,cortexvpu-01a-005-41884872_2026-06-19_02-26-20_390324.ts,90,2026-06-19 03:25:29.939,2026-06-19 03:25:43.939,52.671,52.671,False,,,,,,False,,0.0
25,2026-06-19 03:26:27.062222222,2026-06-19 03:26:29.994444444,2.932222222,1,cortexvpu-01a-005-41884872_2026-06-19_02-26-25_716133.ts,cortexvpu-01a-005-41884872_2026-06-19_02-26-25_716133.ts,90,2026-06-19 03:25:29.939,2026-06-19 03:25:43.939,57.123222222,57.123222222,False,,,,,,False,,0.0
